分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,25MAタッチ,20日安値タッチ,判定,反発確度スコア
2026-08-09 12:03:13,2026-08-07,ORCL,Oracle,147.0,3.6,2.47,71.8,-2.423,-7.249,131.9,148.7,114.5,False,False,RSI 71.8（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,CRM,Salesforce,192.7,6.0,3.2,61.8,6.302,4.296,174.5,194.9,155.1,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,PANW,Palo Alto Networks,363.9,4.4,1.22,57.5,11.568,9.956,340.5,377.0,308.5,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,FTNT,Fortinet,159.6,-0.5,-0.29,49.1,2.771,2.878,159.1,172.1,143.8,True,False,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,HCA,HCA Healthcare,413.4,4.5,1.09,70.8,4.997,2.263,395.4,421.3,354.0,False,False,RSI 70.8（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,LRCX,Lam Research,311.4,5.6,1.82,51.3,-10.216,-12.688,314.9,357.2,250.5,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,MU,Micron Technology,877.6,-3.9,-0.44,50.9,-25.602,-27.584,904.3,1011.8,737.9,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,ZTS,Zoetis,72.7,-4.6,-5.97,40.8,-0.424,-0.405,75.5,80.2,72.2,False,True,ボックス下限タッチ＋下落（下抜け警戒） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 25点（反発余地あり）,25
2026-08-09 12:03:13,2026-08-07,MAR,Marriott,353.9,-5.8,-1.6,42.7,-4.896,-3.136,368.8,384.2,340.8,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-09 12:03:13,2026-08-07,ETN,Eaton,448.7,1.6,0.36,65.6,9.889,3.641,409.3,456.7,357.3,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,EMR,Emerson Electric,158.3,1.3,0.86,74.1,4.69,3.135,145.0,164.9,133.6,False,False,RSI 74.1（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,ROST,Ross Stores,255.2,0.9,0.36,75.7,7.852,6.753,236.7,257.0,218.1,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 75.7（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,TJX,TJX Companies,161.4,-0.7,-0.43,63.6,1.271,0.573,155.6,163.0,148.3,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,ABNB,Airbnb,178.1,26.4,17.43,79.6,4.521,2.595,148.7,178.5,135.7,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 79.6（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,CRWD,CrowdStrike,214.4,7.0,3.39,62.2,6.516,4.59,195.6,219.4,174.1,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,DDOG,Datadog,233.9,4.6,2.02,38.7,2.675,5.891,259.3,292.7,225.3,False,False,RSI 38.7（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-09 12:03:13,2026-08-07,MDB,MongoDB,398.8,28.8,7.78,75.9,11.916,3.194,338.5,399.9,291.8,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 75.9（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,MELI,MercadoLibre,1820.7,-9.3,-0.51,48.0,30.419,36.992,1842.7,1945.0,1766.1,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-09 12:03:13,2026-08-07,NET,Cloudflare,300.3,15.8,5.57,64.8,10.889,9.507,274.8,324.7,250.7,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,PLTR,Palantir Technologies,172.0,16.1,10.32,70.0,7.194,2.405,134.2,172.4,117.9,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,SHOP,Shopify,151.6,4.1,2.8,67.2,6.035,3.245,125.2,153.9,111.1,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,SNOW,Snowflake,330.5,12.5,3.93,81.4,18.756,14.948,281.0,331.4,253.6,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 81.4（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,UBER,Uber Technologies,75.0,4.5,6.46,55.8,-0.231,-0.554,71.7,76.3,65.4,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
